Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 19.,,,,,,,,,,
INDIVIDUALS GRANTED ASYLUM DEFENSIVELY BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of nationality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominican Republic,4,11,6,8,6,8,6,22,4,8
Ecuador,24,19,43,39,77,119,121,103,47,747
Egypt,293,240,148,148,140,164,146,111,70,210
El Salvador,180,189,300,758,"1,343","1,773","2,323","1,731","1,160","2,339"
Eritrea,233,159,138,151,238,271,320,122,72,122
Ethiopia,388,316,252,185,155,121,181,74,59,193
Gambia,74,75,51,45,32,32,24,8,5,27
Georgia,11,10,8,9,11,8,34,31,23,90
Ghana,10,14,36,65,74,36,48,28,14,33
Guatemala,143,166,363,631,953,"1,018","1,545","1,437",885,"2,001"
Guinea,93,57,43,49,79,85,87,33,23,54
Haiti,56,50,62,27,91,49,77,47,28,116
Honduras,88,151,303,621,956,"1,181","1,291","1,016",609,"1,536"
India,299,360,301,308,457,951,"1,929","1,179",632,"2,074"
Indonesia,74,38,19,10,11,17,27,27,9,39
Iran,58,58,37,56,51,53,107,56,36,123
Iraq,53,79,52,26,45,74,105,94,74,173
Jamaica,6,4,7,7,8,10,15,4,4,19
Jordan,13,6,5,D,D,7,29,8,8,25
Kazakhstan,28,32,16,15,30,25,27,20,21,86
Kenya,41,49,21,11,14,22,28,26,12,28
Kosovo,36,28,18,19,32,31,43,15,13,76
Kyrgyzstan,38,36,48,48,37,64,80,55,30,88
Lebanon,14,4,D,6,4,8,28,5,12,18
Liberia,11,13,6,9,8,12,15,18,6,14
Libya,0,D,0,5,5,D,14,14,D,20
Mali,78,56,33,25,31,32,26,11,11,22
Mauritania,38,23,29,13,20,13,26,22,10,38
Mexico,131,106,200,456,551,631,802,719,374,677
Moldova,73,70,40,32,30,38,76,38,28,56
Mongolia,40,19,6,8,5,15,34,11,8,36
Nepal,381,292,250,260,290,470,606,308,143,488
Nicaragua,15,13,20,19,27,35,357,364,163,853
Nigeria,28,58,64,66,70,53,194,154,132,318
Pakistan,124,93,55,69,93,135,181,92,56,226
Peru,7,15,19,17,19,26,46,17,9,71
Philippines,D,0,D,D,D,11,7,8,4,4
Romania,38,16,28,37,38,44,40,31,29,54
Russia,189,120,100,81,59,118,299,246,156,708
Rwanda,29,43,15,19,22,39,28,24,24,19
Saudi Arabia,7,7,4,7,10,9,10,11,6,25
Senegal,19,16,18,7,23,12,14,11,6,35
Sierra Leone,12,9,4,4,10,21,21,8,4,17
Somalia,80,119,177,154,90,41,32,16,11,28
Sri Lanka,97,73,46,32,41,56,70,57,14,57
Sudan,33,14,21,25,25,25,37,9,23,39
Syria,48,66,104,77,145,157,135,62,41,100
Tajikistan,13,13,8,10,6,15,14,11,8,34
Togo,14,11,10,D,13,11,13,10,6,21
Turkey,D,D,14,D,13,26,60,54,52,248
Turkmenistan,D,4,4,D,4,8,12,5,D,6
Uganda,27,23,11,14,19,28,59,47,30,65
Ukraine,53,54,41,48,68,106,142,83,59,266
United Arab Emirates,0,D,0,0,D,4,8,5,0,13
Uzbekistan,57,40,25,15,32,45,89,90,29,209
Venezuela,78,89,32,27,68,123,502,890,479,"1,463"
Vietnam,D,4,D,D,D,6,36,89,45,45
Yemen,15,18,7,9,4,21,21,20,13,28
Zimbabwe,20,8,D,D,13,8,12,8,0,15
All other countries1,120,84,73,55,66,77,100,91,62,121
Unknown2,319,D,D,156,D,D,203,147,51,193
D Data withheld to limit disclosure.,,,,,,,,,,
1 Includes countries with fewer than 10 individuals granted asylum defensively per year.,,,,,,,,,,
2 Includes admissions from Palestinian Territories.,,,,,,,,,,
"Note: In this table, data are withheld for any cell with a count of 1, 2, or 3, and for any associated cell that could be used to reveal such a count through calculation.",,,,,,,,,,
Source: Office of Homeland Security Statistics.,,,,,,,,,,
